Legislation Number,URL,Congress,Bill Text Type,Bill Text Type Code,Latest Title,HTML Url,PDF Url
H.R. 4779,https://www.congress.gov,116,Public Law,PL,"To extend the Undertaking Spam, Spyware, And Fraud Enforcement With Enforcers beyond Borders Act of 2006, and for other purposes.",,https://www.congress.gov/116/plaws/publ173/PLAW-116publ173.pdf
H.R. 4771,https://www.congress.gov,116,Public Law,PL,VA Tele-Hearing Modernization Act,,https://www.congress.gov/116/plaws/publ137/PLAW-116publ137.pdf
H.R. 4734,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 171 South Maple Street in Dana, Indiana, as the ""Ernest 'Ernie' T. Pyle Post Office"".",,https://www.congress.gov/116/plaws/publ200/PLAW-116publ200.pdf
H.R. 4725,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 8585 Criterion Drive in Colorado Springs, Colorado, as the ""Chaplain (Capt.) Dale Goetz Memorial Post Office Building"".",,https://www.congress.gov
H.R. 4672,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 21701 Stevens Creek Boulevard in Cupertino, California, as the ""Petty Officer 2nd Class (SEAL) Matthew G. Axelson Post Office Building"".",,https://www.congress.gov
H.R. 4566,https://www.congress.gov,116,Public Law,PL,Virginia Beach Strong Act,,https://www.congress.gov/116/plaws/publ98/PLAW-116publ98.pdf
H.R. 4378,https://www.congress.gov,116,Public Law,PL,"Continuing Appropriations Act, 2020, and Health Extenders Act of 2019",,https://www.congress.gov/116/plaws/publ59/PLAW-116publ59.pdf
H.R. 4334,https://www.congress.gov,116,Public Law,PL,Supporting Older Americans Act of 2020,,https://www.congress.gov/116/plaws/publ131/PLAW-116publ131.pdf
H.R. 4285,https://www.congress.gov,116,Public Law,PL,Department of Veterans Affairs Expiring Authorities Act of 2019,,https://www.congress.gov/116/plaws/publ61/PLAW-116publ61.pdf
H.R. 4279,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 445 Main Street in Laceyville, Pennsylvania, as the ""Melinda Gene Piccotti Post Office"".",,https://www.congress.gov
H.R. 4258,https://www.congress.gov,116,Public Law,PL,Reauthorizing Security for Supreme Court Justices Act of 2019,,https://www.congress.gov/116/plaws/publ75/PLAW-116publ75.pdf
H.R. 4200,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 321 South 1st Street in Montrose, Colorado, as the ""Sergeant David Kinterknecht Post Office"".",,https://www.congress.gov
H.R. 4183,https://www.congress.gov,116,Public Law,PL,Identifying Barriers and Best Practices Study Act,,https://www.congress.gov/116/plaws/publ187/PLAW-116publ187.pdf
H.R. 4104,https://www.congress.gov,116,Public Law,PL,Negro Leagues Baseball Centennial Commemorative Coin Act,,https://www.congress.gov/116/plaws/publ209/PLAW-116publ209.pdf
H.R. 4034,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 602 Pacific Avenue in Bremerton, Washington, as the ""John Henry Turpin Post Office Building"".",,https://www.congress.gov
H.R. 3889,https://www.congress.gov,116,Public Law,PL,ONDCP Technical Corrections Act of 2019,,https://www.congress.gov/116/plaws/publ74/PLAW-116publ74.pdf
H.R. 3877,https://www.congress.gov,116,Public Law,PL,Bipartisan Budget Act of 2019,,https://www.congress.gov/116/plaws/publ37/PLAW-116publ37.pdf
H.R. 3870,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 511 West 165th Street in New York, New York, as the ""Normandia Maldonado Post Office Building"".",,https://www.congress.gov
H.R. 3847,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 117 West Poythress Street in Hopewell, Virginia, as the ""Reverend Curtis West Harris Post Office Building"".",,https://www.congress.gov
H.R. 3680,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 415 North Main Street in Henning, Tennessee, as the ""Paula Croom Robinson and Judy Spray Memorial Post Office Building"".",,https://www.congress.gov
H.R. 3589,https://www.congress.gov,116,Public Law,PL,Greg LeMond Congressional Gold Medal Act,,https://www.congress.gov/116/plaws/publ208/PLAW-116publ208.pdf
H.R. 3504,https://www.congress.gov,116,Public Law,PL,Ryan Kules and Paul Benne Specially Adaptive Housing Improvement Act of 2019,,https://www.congress.gov/116/plaws/publ154/PLAW-116publ154.pdf
H.R. 3401,https://www.congress.gov,116,Public Law,PL,"Emergency Supplemental Appropriations for Humanitarian Assistance and Security at the Southern Border Act, 2019",,https://www.congress.gov/116/plaws/publ26/PLAW-116publ26.pdf
H.R. 3399,https://www.congress.gov,116,Public Law,PL,"To amend the Nutria Eradication and Control Act of 2003 to include California in the program, and for other purposes.",,https://www.congress.gov/116/plaws/publ186/PLAW-116publ186.pdf
H.R. 3349,https://www.congress.gov,116,Public Law,PL,Republic of Texas Legation Memorial Act,,https://www.congress.gov
H.R. 3329,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 5186 Benito Street in Montclair, California, as the ""Paul Eaton Post Office Building"".",,https://www.congress.gov/116/plaws/publ199/PLAW-116publ199.pdf
H.R. 3317,https://www.congress.gov,116,Public Law,PL,"To permit the Scipio A. Jones Post Office in Little Rock, Arkansas, to accept and display a portrait of Scipio A. Jones, and for other purposes.",,https://www.congress.gov/116/plaws/publ198/PLAW-116publ198.pdf
H.R. 3314,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 1750 McCulloch Boulevard North in Lake Havasu City, Arizona, as the ""Lake Havasu City Combat Veterans Memorial Post Office Building"".",,https://www.congress.gov/116/plaws/publ90/PLAW-116publ90.pdf
H.R. 3311,https://www.congress.gov,116,Public Law,PL,Small Business Reorganization Act of 2019,,https://www.congress.gov/116/plaws/publ54/PLAW-116publ54.pdf
H.R. 3305,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 2509 George Mason Drive in Virginia Beach, Virginia, as the ""Ryan Keith Cox Post Office Building"".",,https://www.congress.gov/116/plaws/publ47/PLAW-116publ47.pdf
H.R. 3304,https://www.congress.gov,116,Public Law,PL,National Guard and Reservists Debt Relief Extension Act of 2019,,https://www.congress.gov/116/plaws/publ53/PLAW-116publ53.pdf
H.R. 3275,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 340 Wetmore Avenue in Grand River, Ohio, as the ""Lance Corporal Andy 'Ace' Nowacki Post Office"".",,https://www.congress.gov
H.R. 3253,https://www.congress.gov,116,Public Law,PL,Sustaining Excellence in Medicaid Act of 2019,,https://www.congress.gov/116/plaws/publ39/PLAW-116publ39.pdf
H.R. 3245,https://www.congress.gov,116,Public Law,PL,Restore the Harmony Way Bridge Act,,https://www.congress.gov/116/plaws/publ56/PLAW-116publ56.pdf
H.R. 3207,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 114 Mill Street in Hookstown, Pennsylvania, as the ""Staff Sergeant Dylan Elchin Post Office Building"".",,https://www.congress.gov/116/plaws/publ197/PLAW-116publ197.pdf
H.R. 3196,https://www.congress.gov,116,Public Law,PL,Vera C. Rubin Observatory Designation Act,,https://www.congress.gov/116/plaws/publ97/PLAW-116publ97.pdf
H.R. 3151,https://www.congress.gov,116,Public Law,PL,Taxpayer First Act,,https://www.congress.gov/116/plaws/publ25/PLAW-116publ25.pdf
H.R. 3144,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 8520 Michigan Avenue in Whittier, California, as the ""Jose Ramos Post Office Building"".",,https://www.congress.gov/116/plaws/publ89/PLAW-116publ89.pdf
H.R. 3055,https://www.congress.gov,116,Public Law,PL,"Further Continuing Appropriations Act, 2020, and Further Health Extenders Act of 2019",,https://www.congress.gov/116/plaws/publ69/PLAW-116publ69.pdf
H.R. 3005,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 13308 Midland Road in Poway, California, as the ""Ray Chavez Post Office Building"".",,https://www.congress.gov
H.R. 2969,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 1401 1st Street North in Winter Haven, Florida, as the ""Althea Margaret Daily Mills Post Office Building"".",,https://www.congress.gov
H.R. 2940,https://www.congress.gov,116,Public Law,PL,"To extend the program of block grants to States for temporary assistance for needy families and related programs through September 30, 2019.",,https://www.congress.gov/116/plaws/publ27/PLAW-116publ27.pdf
